# BUSCO version is: 5.5.0 
# The lineage dataset is: eudicots_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at71240	Duplicated	h2tg000794l:101427-70540	101427	70540	-	4499.1	3458	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
2at71240	Duplicated	h2tg000963l:125432-161170	125432	161170	+	5197.4	4188	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
10at71240	Complete	h2tg000271l:108445-87048	108445	87048	-	7174.0	3995	https://v10-1.orthodb.org/?query=10at71240	Zinc finger, ZZ-type
17at71240	Complete	h2tg000425l:182109-203097	182109	203097	+	6696.5	3928	https://v10-1.orthodb.org/?query=17at71240	Zinc finger, RING/FYVE/PHD-type
86at71240	Complete	h2tg000019l:702333-685830	702333	685830	-	5494.4	3217	https://v10-1.orthodb.org/?query=86at71240	Phosphatidylinositol 3-/4-kinase, catalytic domain
204at71240	Complete	h2tg001328l:68752-95321	68752	95321	+	3959.1	2248	https://v10-1.orthodb.org/?query=204at71240	Translational activator Gcn1
224at71240	Complete	h2tg000756l:24297-4176	24297	4176	-	2820.3	2008	https://v10-1.orthodb.org/?query=224at71240	WD40 repeat
265at71240	Complete	h2tg000456l:148041-159905	148041	159905	+	2688.4	1620	https://v10-1.orthodb.org/?query=265at71240	DNA2/NAM7 helicase, AAA domain
312at71240	Complete	h2tg000432l:328482-377711	328482	377711	+	3482.7	1983	https://v10-1.orthodb.org/?query=312at71240	Zinc finger FYVE domain protein
355at71240	Duplicated	h2tg000223l:1730390-1715882	1730390	1715882	-	4306.0	2152	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
355at71240	Duplicated	h2tg000367l:368756-384831	368756	384831	+	4300.4	2144	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
368at71240	Complete	h2tg000347l:542057-589426	542057	589426	+	2577.9	1658	https://v10-1.orthodb.org/?query=368at71240	Armadillo-type fold
383at71240	Complete	h2tg000203l:171936-163299	171936	163299	-	2647.3	1679	https://v10-1.orthodb.org/?query=383at71240	Armadillo-type fold
491at71240	Complete	h2tg000507l:74109-52214	74109	52214	-	2088.1	1582	https://v10-1.orthodb.org/?query=491at71240	BP28, C-terminal domain
526at71240	Complete	h2tg000430l:418598-441428	418598	441428	+	2845.6	1578	https://v10-1.orthodb.org/?query=526at71240	ABC transporter A
561at71240	Complete	h2tg000670l:264789-290744	264789	290744	+	2790.6	1618	https://v10-1.orthodb.org/?query=561at71240	SNF2-related, N-terminal domain
597at71240	Complete	h2tg000460l:144940-133588	144940	133588	-	2961.4	1548	https://v10-1.orthodb.org/?query=597at71240	Dicer dimerisation domain
640at71240	Complete	h2tg000995l:81588-61623	81588	61623	-	2719.1	1601	https://v10-1.orthodb.org/?query=640at71240	Nucleoporin Nup186/Nup192/Nup205
703at71240	Complete	h2tg000097l:1833776-1818980	1833776	1818980	-	2695.9	1533	https://v10-1.orthodb.org/?query=703at71240	SNF2-related, N-terminal domain
707at71240	Complete	h2tg000386l:1312052-1293509	1312052	1293509	-	3125.3	1519	https://v10-1.orthodb.org/?query=707at71240	DHR-1 domain
727at71240	Complete	h2tg000544l:288106-258698	288106	258698	-	2380.8	1597	https://v10-1.orthodb.org/?query=727at71240	Bacterial Ig-like, group 2
745at71240	Complete	h2tg000884l:32513-12281	32513	12281	-	2852.6	1656	https://v10-1.orthodb.org/?query=745at71240	S1 domain
769at71240	Complete	h2tg000432l:24614-136	24614	136	-	2719.6	1506	https://v10-1.orthodb.org/?query=769at71240	DNA polymerase A
779at71240	Complete	h2tg000268l:385895-373824	385895	373824	-	2202.2	1382	https://v10-1.orthodb.org/?query=779at71240	Tetratricopeptide repeat-containing domain
793at71240	Complete	h2tg000243l:46691-62869	46691	62869	+	2580.1	1792	https://v10-1.orthodb.org/?query=793at71240	Protein virilizer
836at71240	Complete	h2tg000621l:375307-363186	375307	363186	-	1907.5	1721	https://v10-1.orthodb.org/?query=836at71240	NT-type C2 domain
851at71240	Complete	h2tg000207l:338129-350902	338129	350902	+	2253.5	1325	https://v10-1.orthodb.org/?query=851at71240	Sister chromatid cohesion protein
906at71240	Complete	h2tg000396l:433506-425471	433506	425471	-	1589.3	1314	https://v10-1.orthodb.org/?query=906at71240	Putative zinc-finger domain
916at71240	Duplicated	h2tg000024l:895110-881021	895110	881021	-	1886.5	1420	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
916at71240	Duplicated	h2tg000134l:902578-919875	902578	919875	+	1740.0	1365	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
916at71240	Duplicated	h2tg000225l:202908-218363	202908	218363	+	1940.4	1488	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
916at71240	Duplicated	h2tg000365l:1333593-1316662	1333593	1316662	-	1976.8	1396	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
916at71240	Duplicated	h2tg000394l:85650-102749	85650	102749	+	1831.2	1424	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
916at71240	Duplicated	h2tg000555l:445038-475053	445038	475053	+	1739.2	1445	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
916at71240	Duplicated	h2tg001059l:18380-4434	18380	4434	-	1704.9	1392	https://v10-1.orthodb.org/?query=916at71240	1,3-beta-glucan synthase subunit FKS1-like, domain-1
933at71240	Complete	h2tg000084l:139205-152502	139205	152502	+	2132.8	1315	https://v10-1.orthodb.org/?query=933at71240	UDP-glucose:Glycoprotein Glucosyltransferase
945at71240	Complete	h2tg000033l:714248-691722	714248	691722	-	2810.7	1550	https://v10-1.orthodb.org/?query=945at71240	Proteasome activator Blm10, mid region
1064at71240	Complete	h2tg000147l:4855717-4831474	4855717	4831474	-	2254.8	1465	https://v10-1.orthodb.org/?query=1064at71240	THO complex, subunitTHOC2, C-terminal
1065at71240	Duplicated	h2tg000019l:1898032-1909965	1898032	1909965	+	1908.3	1403	https://v10-1.orthodb.org/?query=1065at71240	Autophagy-related, C-terminal
1065at71240	Duplicated	h2tg000668l:19199-30053	19199	30053	+	1796.2	1370	https://v10-1.orthodb.org/?query=1065at71240	Autophagy-related, C-terminal
1115at71240	Complete	h2tg001337l:114623-98676	114623	98676	-	2064.9	1505	https://v10-1.orthodb.org/?query=1115at71240	ARID DNA-binding domain
1147at71240	Complete	h2tg000368l:112618-128796	112618	128796	+	2148.7	1461	https://v10-1.orthodb.org/?query=1147at71240	tRNA/rRNA methyltransferase, SpoU type
1158at71240	Complete	h2tg000132l:84111-69484	84111	69484	-	2207.1	1489	https://v10-1.orthodb.org/?query=1158at71240	Zinc finger, RING-type
1159at71240	Complete	h2tg000634l:13735-3889	13735	3889	-	1681.4	1431	https://v10-1.orthodb.org/?query=1159at71240	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
1162at71240	Complete	h2tg000851l:169124-156593	169124	156593	-	2577.0	1517	https://v10-1.orthodb.org/?query=1162at71240	Mediator complex, subunit Med14
1185at71240	Complete	h2tg000928l:56618-72744	56618	72744	+	1979.0	1276	https://v10-1.orthodb.org/?query=1185at71240	Zinc finger, PHD-type
1212at71240	Complete	h2tg000433l:61078-29844	61078	29844	-	2322.4	1382	https://v10-1.orthodb.org/?query=1212at71240	Mon2, C-terminal
