# BUSCO version is: 5.5.0 
# The lineage dataset is: eudicots_odb10 (Creation date: 2024-01-08, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
2at71240	Duplicated	scaffold_2:29589303-29625077	29589303	29625077	+	5178.4	4051	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
2at71240	Duplicated	scaffold_2:37568280-37601032	37568280	37601032	+	5271.3	4030	https://v10-1.orthodb.org/?query=2at71240	Midasin AAA lid domain 5
10at71240	Complete	scaffold_3:8669168-8690540	8669168	8690540	+	7167.6	3995	https://v10-1.orthodb.org/?query=10at71240	Zinc finger, ZZ-type
17at71240	Complete	scaffold_7:11211488-11190045	11211488	11190045	-	6687.6	3926	https://v10-1.orthodb.org/?query=17at71240	Zinc finger, RING/FYVE/PHD-type
86at71240	Complete	scaffold_2:17873737-17890243	17873737	17890243	+	5493.1	3217	https://v10-1.orthodb.org/?query=86at71240	Phosphatidylinositol 3-/4-kinase, catalytic domain
204at71240	Complete	scaffold_9:13906458-13879888	13906458	13879888	-	3958.7	2247	https://v10-1.orthodb.org/?query=204at71240	Translational activator Gcn1
224at71240	Missing
265at71240	Complete	scaffold_2:38791695-38779831	38791695	38779831	-	2688.4	1620	https://v10-1.orthodb.org/?query=265at71240	DNA2/NAM7 helicase, AAA domain
312at71240	Complete	scaffold_14:2728919-2679556	2728919	2679556	-	3484.6	1978	https://v10-1.orthodb.org/?query=312at71240	Zinc finger FYVE domain protein
355at71240	Duplicated	scaffold_13:4095516-4109978	4095516	4109978	+	4303.3	2152	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
355at71240	Duplicated	scaffold_7:3991605-3975530	3991605	3975530	-	4148.8	2108	https://v10-1.orthodb.org/?query=355at71240	DnaJ domain
368at71240	Complete	scaffold_7:17410393-17365141	17410393	17365141	-	2502.5	1607	https://v10-1.orthodb.org/?query=368at71240	Armadillo-type fold
