#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_8:20353959-20368898  -            838 69527at71240         -            392  5.5e-159  528.4   0.3   1   1  9.4e-160  2.2e-158  526.5   0.3    10   388   448   837   437   838 0.92 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   1  11   9.6e-10   2.2e-08   32.6   0.0    73   167     1    97     1    97 0.93 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   2  11   1.1e-12   2.5e-11   42.3   0.0    53   167    85   202    79   204 0.93 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   3  11   1.8e-10   4.1e-09   35.0   0.1    49   152   186   289   184   293 0.90 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   4  11   1.1e-11   2.5e-10   39.0   0.1    53   152   292   394   285   397 0.92 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   5  11   7.8e-14   1.8e-12   46.0   0.0    54   167   395   511   392   512 0.94 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   6  11   1.7e-10   3.9e-09   35.0   0.1    54   151   465   565   464   567 0.93 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   7  11   7.5e-12   1.7e-10   39.5   0.0    51   152   497   601   491   604 0.90 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   8  11   6.6e-13   1.5e-11   43.0   0.1    52   165   568   684   565   686 0.91 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7   9  11   8.9e-10   2.1e-08   32.7   0.1    52   151   673   775   668   778 0.92 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7  10  11   8.7e-12     2e-10   39.3   0.0    54   167   745   861   745   861 0.94 -
scaffold_10:7935577-7938474   -            966 69527at71240         -            392    3e-100  335.1  17.7  11  11   4.2e-13   9.8e-12   43.6   0.1    53   159   849   958   844   966 0.89 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   1  10   0.00057     0.013   13.5   0.0    93   169   120   198   105   211 0.86 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   2  10   5.2e-10   1.2e-08   33.4   0.1    75   172   207   306   200   307 0.91 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   3  10   1.3e-08     3e-07   28.8   0.0    76   155   278   359   277   360 0.93 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   4  10   4.4e-12     1e-10   40.3   0.0    42   139   348   448   346   454 0.92 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   5  10   7.9e-07   1.8e-05   23.0   0.1    44   121   455   533   449   542 0.87 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   6  10   1.1e-12   2.7e-11   42.2   0.4    48   152   529   636   527   640 0.90 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   7  10   0.00035    0.0082   14.2   0.0    83   150   635   703   632   708 0.54 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   8  10   3.2e-12   7.4e-11   40.7   0.0    21   153   747   883   730   887 0.83 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0   9  10     1e-08   2.4e-07   29.2   0.0    48   143   880   978   876   981 0.87 -
scaffold_8:14895414-14892094  -           1107 69527at71240         -            392   7.5e-88  294.2   6.0  10  10   2.4e-15   5.6e-14   51.0   0.0    71   171   974  1076   972  1089 0.93 -
scaffold_9:12117375-12120398  -           1008 69527at71240         -            392   2.4e-84  282.7  34.8   1  11   3.6e-11   8.4e-10   37.2   0.2    46   179    10   146     6   155 0.87 -
